City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
431,Stykkisholmur,65.0757,-22.7297,18.52,82,24,7.85,few clouds,IS,2022-02-12 19:39:35
432,Yangambi,0.8102,24.4336,77.63,59,100,0.89,overcast clouds,CD,2022-02-12 19:39:35
433,Naryan-Mar,67.6713,53.087,11.03,95,98,10.33,overcast clouds,RU,2022-02-12 19:39:36
434,Pontal Do Parana,-25.6533,-48.5128,90.73,62,0,7.27,clear sky,BR,2022-02-12 19:39:36
435,Margate,51.3813,1.3862,43.7,68,100,7.0,overcast clouds,GB,2022-02-12 19:39:36
436,Coruripe,-10.1256,-36.1756,82.67,69,3,15.73,clear sky,BR,2022-02-12 19:39:37
437,Barddhaman,23.25,87.85,60.4,48,6,6.33,clear sky,IN,2022-02-12 19:39:37
438,Vestmanna,62.1564,-7.1664,36.52,100,75,1.14,broken clouds,FO,2022-02-12 19:39:38
439,Kimry,56.8667,37.35,22.19,90,92,11.18,overcast clouds,RU,2022-02-12 19:39:38
440,Srivardhan,18.0333,73.0167,73.56,58,32,5.75,scattered clouds,IN,2022-02-12 19:39:38
441,Sikasso,10.9167,-7.0,80.46,12,5,6.2,clear sky,ML,2022-02-12 19:39:39
442,Pionerskiy,54.9508,20.2275,33.64,73,99,22.01,overcast clouds,RU,2022-02-12 19:39:39
443,Groningen,53.25,6.75,40.01,68,100,13.8,overcast clouds,NL,2022-02-12 19:39:40
444,Paita,-5.0892,-81.1144,84.76,64,100,13.8,overcast clouds,PE,2022-02-12 19:39:40
445,Orangeburg,33.4918,-80.8557,69.49,44,0,6.91,clear sky,US,2022-02-12 19:39:41
446,Nizza Monferrato,44.7738,8.3539,47.25,67,96,5.57,overcast clouds,IT,2022-02-12 19:39:41
447,Severodvinsk,64.5635,39.8302,15.91,91,55,9.82,broken clouds,RU,2022-02-12 19:39:42
448,Koroni,36.8,21.95,55.08,69,100,1.03,overcast clouds,GR,2022-02-12 19:39:42
449,Angoche,-16.2325,39.9086,77.76,88,96,5.61,light rain,MZ,2022-02-12 19:39:42
450,Zhezkazgan,47.8043,67.7144,26.58,93,100,22.37,overcast clouds,KZ,2022-02-12 19:39:43
451,Veraval,20.9,70.3667,69.4,43,1,7.56,clear sky,IN,2022-02-12 19:39:43
452,Jaciara,-15.9653,-54.9683,82.22,81,50,4.21,scattered clouds,BR,2022-02-12 19:39:44
453,Yalvac,38.2956,31.1778,30.18,68,100,4.23,overcast clouds,TR,2022-02-12 19:39:44
454,Portsmouth,50.799,-1.0913,47.44,89,100,13.0,overcast clouds,GB,2022-02-12 19:37:47
455,Chake Chake,-5.2459,39.7666,77.77,78,100,4.65,overcast clouds,TZ,2022-02-12 19:39:45
456,Ust-Koksa,50.2696,85.6108,2.07,89,100,1.03,overcast clouds,RU,2022-02-12 19:39:45
457,Vila Do Maio,15.1333,-23.2167,75.99,71,86,19.53,overcast clouds,CV,2022-02-12 19:39:46
458,Esfarayen,37.0765,57.5101,31.66,74,25,4.83,scattered clouds,IR,2022-02-12 19:39:46
459,Novo Oriente,-5.5344,-40.7742,80.92,56,89,5.41,overcast clouds,BR,2022-02-12 19:39:46
460,Koulikoro,14.0,-7.75,72.59,11,0,9.35,clear sky,ML,2022-02-12 19:39:47
461,Bunia,1.5667,30.25,74.37,37,99,3.74,overcast clouds,CD,2022-02-12 19:39:47
462,Brighton,50.8284,-0.1395,46.31,72,0,15.99,clear sky,GB,2022-02-12 19:37:27
463,Sturovo,47.7949,18.7175,39.33,69,4,5.23,clear sky,SK,2022-02-12 19:40:48
464,Terrasini,38.146,13.0844,53.46,74,0,4.61,clear sky,IT,2022-02-12 19:40:48
465,Vangaindrano,-23.35,47.6,73.69,86,38,6.44,scattered clouds,MG,2022-02-12 19:40:49
466,Torzhok,57.0436,34.9622,27.43,87,95,12.75,overcast clouds,RU,2022-02-12 19:40:49
467,Leesburg,39.1157,-77.5636,60.19,44,0,12.66,clear sky,US,2022-02-12 19:40:50
468,Eresos,39.1667,25.9333,49.51,67,100,7.0,overcast clouds,GR,2022-02-12 19:40:50
469,Lask,51.5906,19.1328,31.35,85,22,1.01,few clouds,PL,2022-02-12 19:40:50
470,Bilma,18.6853,12.9164,66.09,16,0,8.14,clear sky,NE,2022-02-12 19:40:51
471,Meulaboh,4.1363,96.1285,77.63,84,96,3.91,overcast clouds,ID,2022-02-12 19:40:51
472,Islamkot,24.6997,70.177,66.42,24,0,6.51,clear sky,PK,2022-02-12 19:40:52
473,Shar,49.5886,81.0453,20.57,94,100,12.12,light snow,KZ,2022-02-12 19:40:52
474,Salinopolis,-0.6136,-47.3561,82.11,77,28,8.93,scattered clouds,BR,2022-02-12 19:40:53
475,Fauske,67.2588,15.3918,30.24,80,99,7.99,overcast clouds,NO,2022-02-12 19:40:53
476,Pastavy,55.1168,26.8326,28.54,81,99,15.39,overcast clouds,BY,2022-02-12 19:40:53
477,Port-Gentil,-0.7193,8.7815,80.47,85,73,8.7,light rain,GA,2022-02-12 19:40:54
478,Doha,25.2867,51.5333,64.71,72,40,17.27,scattered clouds,QA,2022-02-12 19:40:54
479,Dalbandin,28.8947,64.4101,59.04,20,0,3.91,clear sky,PK,2022-02-12 19:40:55
480,Mo I Rana,66.3128,14.1428,14.92,90,99,3.96,overcast clouds,NO,2022-02-12 19:37:52
481,Kashi,39.4547,75.9797,38.41,30,93,4.47,overcast clouds,CN,2022-02-12 19:40:55
482,Lafiagi,8.8667,5.4167,86.36,10,14,3.8,few clouds,NG,2022-02-12 19:40:56
483,Holalkere,14.0333,76.1833,69.03,48,6,6.17,clear sky,IN,2022-02-12 19:40:56
484,Ardakan,32.31,54.0175,46.78,55,99,4.68,overcast clouds,IR,2022-02-12 19:40:57
485,Zlynka,52.4267,31.7378,28.18,88,8,9.19,clear sky,RU,2022-02-12 19:40:57
486,Lapua,62.9693,23.0088,25.48,96,82,3.85,broken clouds,FI,2022-02-12 19:40:58
487,Udarnyy,54.3409,42.8611,17.69,95,66,5.73,broken clouds,RU,2022-02-12 19:40:58
488,Tevriz,57.509,72.4042,-0.15,95,100,6.69,overcast clouds,RU,2022-02-12 19:40:58
