City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
202,Arraial Do Cabo,BR,2022-02-01 01:40:55,-22.9661,-42.0278,75.16,94,0,5.75
203,Cidreira,BR,2022-02-01 01:40:12,-30.1811,-50.2056,72.95,87,2,1.66
204,Tuatapere,NZ,2022-02-01 01:41:43,-46.1333,167.6833,74.82,43,100,1.5
205,Monteagudo,BO,2022-02-01 01:41:43,-19.8167,-63.9833,65.1,96,100,2.28
206,Esperance,AU,2022-02-01 01:38:20,-33.8667,121.9,67.84,52,60,16.64
207,Georgetown,MY,2022-02-01 01:40:08,5.4112,100.3354,82.33,79,20,1.01
208,Evensk,RU,2022-02-01 01:41:44,61.95,159.2333,21.38,58,100,27.38
209,Majene,ID,2022-02-01 01:41:45,-3.5403,118.9707,85.55,59,100,3.09
210,Sisimiut,GL,2022-02-01 01:41:45,66.9395,-53.6735,5.67,88,100,5.19
211,Lensk,RU,2022-02-01 01:41:46,60.7253,114.9278,-1.52,96,100,5.79
212,Sioux Lookout,CA,2022-02-01 01:41:46,50.1001,-91.917,23.38,86,100,6.91
213,Jian,CN,2022-02-01 01:41:46,27.1172,114.9793,41.59,91,100,4.21
214,Rocha,UY,2022-02-01 01:41:47,-34.4833,-54.3333,57.94,66,2,3.09
215,San Miguelito,PA,2022-02-01 01:41:47,9.0333,-79.5,78.87,72,20,3.0
216,Jutai,BR,2022-02-01 01:41:48,-5.1833,-68.9,76.8,82,98,2.68
217,Mata Grande,BR,2022-02-01 01:41:48,-9.1175,-37.7322,72.46,69,6,5.88
218,Mar Del Plata,AR,2022-02-01 01:40:27,-38.0023,-57.5575,64.87,56,0,7.0
219,Bosaso,SO,2022-02-01 01:41:49,11.2842,49.1816,74.64,81,34,3.87
220,Coquimbo,CL,2022-02-01 01:41:49,-29.9533,-71.3436,64.13,82,75,8.05
221,Leningradskiy,RU,2022-02-01 01:41:50,69.3833,178.4167,-16.98,95,59,9.22
222,Ouegoa,NC,2022-02-01 01:42:50,-20.35,164.4333,86.81,59,96,2.91
223,Hambantota,LK,2022-02-01 01:42:51,6.1241,81.1185,73.74,100,20,5.75
224,Wonthaggi,AU,2022-02-01 01:42:51,-38.6044,145.5913,74.05,72,73,18.88
225,Killybegs,IE,2022-02-01 01:42:52,54.6333,-8.45,49.44,95,100,25.48
226,Coahuayana,MX,2022-02-01 01:42:52,18.7333,-103.6833,81.88,86,0,1.19
227,Port Hardy,CA,2022-02-01 01:42:53,50.6996,-127.4199,41.76,81,75,5.75
228,Eyl,SO,2022-02-01 01:42:53,7.9803,49.8164,75.63,78,90,13.62
229,Lira,UG,2022-02-01 01:42:54,2.235,32.9097,68.32,70,91,4.05
230,Tarpon Springs,US,2022-02-01 01:41:16,28.1461,-82.7568,57.38,85,0,0.0
231,Puro,PH,2022-02-01 01:42:54,12.4841,123.3827,80.67,77,39,13.6
232,Taltal,CL,2022-02-01 01:42:29,-25.4,-70.4833,65.79,78,0,3.18
233,Mezhdurechensk,RU,2022-02-01 01:42:55,53.6942,88.0603,12.31,97,100,1.39
234,Hun,LY,2022-02-01 01:42:56,29.1268,15.9477,50.14,43,26,8.95
235,Tessalit,ML,2022-02-01 01:42:56,20.1986,1.0114,61.92,10,12,8.75
236,Touros,BR,2022-02-01 01:42:57,-5.1989,-35.4608,77.9,75,32,11.18
237,Anchorage,US,2022-02-01 01:42:48,61.2181,-149.9003,21.27,86,0,3.44
238,Carutapera,BR,2022-02-01 01:42:57,-1.195,-46.02,73.06,87,100,8.28
239,Miri,MY,2022-02-01 01:42:58,4.4148,114.0089,77.14,94,40,0.0
240,Hasaki,JP,2022-02-01 01:42:58,35.7333,140.8333,46.29,36,100,0.85
241,Veshenskaya,RU,2022-02-01 01:42:58,49.6303,41.7334,29.95,89,86,16.15
242,Huaicheng,CN,2022-02-01 01:42:59,23.9051,112.1931,46.04,90,100,3.2
243,Altamira,BR,2022-02-01 01:41:08,-3.2033,-52.2064,72.84,98,100,2.19
244,Leninsk,RU,2022-02-01 01:42:59,48.7119,45.1994,33.66,92,100,10.94
245,Sharan,RU,2022-02-01 01:43:00,54.8167,54.0,27.07,88,100,17.58
246,Bell Ville,AR,2022-02-01 01:43:00,-32.6259,-62.6887,71.62,38,5,6.85
247,Mangrol,IN,2022-02-01 01:43:01,21.1167,70.1167,68.36,82,0,10.47
248,Tooele,US,2022-02-01 01:43:01,40.5308,-112.2983,35.1,86,0,0.0
249,Half Moon Bay,US,2022-02-01 01:42:46,37.4636,-122.4286,57.42,81,20,6.91
250,Inuvik,CA,2022-02-01 01:43:02,68.3499,-133.7218,-3.14,77,75,9.22
251,Namibe,AO,2022-02-01 01:38:21,-15.1961,12.1522,70.59,74,99,7.31
252,Pasighat,IN,2022-02-01 01:43:03,28.0667,95.3333,58.33,69,100,0.29
253,Linxia,CN,2022-02-01 01:43:03,35.6003,103.2064,18.43,75,100,0.83
254,Bang Saphan,TH,2022-02-01 01:43:03,11.2126,99.5117,78.75,73,13,1.43
255,Prachuap Khiri Khan,TH,2022-02-01 01:43:04,12.2167,99.75,81.68,73,9,2.66
256,Butaritari,KI,2022-02-01 01:43:05,3.0707,172.7902,81.88,78,100,12.75
257,Northam,GB,2022-02-01 01:43:05,51.0333,-4.2167,48.61,85,100,20.15
258,Faanui,PF,2022-02-01 01:43:05,-16.4833,-151.75,81.1,73,7,20.29
259,Oranjestad,AW,2022-02-01 01:43:06,12.524,-70.027,78.75,78,20,12.66
260,Prince Rupert,CA,2022-02-01 01:41:43,54.3161,-130.3201,38.89,87,100,0.0
261,Arlit,NE,2022-02-01 01:43:06,18.7369,7.3853,52.59,22,0,3.69
262,Isangel,VU,2022-02-01 01:43:07,-19.55,169.2667,82.51,89,75,6.91
